Application,Category,Detail,Start Time,End Time,Duration (seconds)
time tracker.py - Visual Studio Code,Application,,2025-01-10 18:30:30,2025-01-10 18:30:40,10.005459
Notepad,Application,,2025-01-10 18:30:55,2025-01-10 18:30:56,1.000665
httpser-build-planner.nyasu.busines.txt - Notepad,Application,,2025-01-10 18:30:56,2025-01-10 18:30:59,3.004719
C:\Users\vyshn\Desktop\Internet Explorer - File Explorer,Application,,2025-01-10 18:31:03,2025-01-10 18:31:09,6.002906
Program Manager,Application,,2025-01-10 18:31:09,2025-01-10 18:31:11,2.001954
ChatGPT and 16 more pages - Personal - Microsoft​ Edge,Browser,ChatGPT and 16 more pages - Personal,2025-01-10 18:31:11,2025-01-10 18:32:00,49.031025
time tracker.py - Visual Studio Code,Application,,2025-01-10 18:32:00,2025-01-10 18:32:40,40.026181
ChatGPT and 16 more pages - Personal - Microsoft​ Edge,Browser,ChatGPT and 16 more pages - Personal,2025-01-10 18:32:40,2025-01-10 18:32:49,9.006524
Task Switching,Application,,2025-01-10 18:32:49,2025-01-10 18:32:50,1.001947
time tracker.py - Visual Studio Code,Application,,2025-01-10 18:32:50,2025-01-10 18:33:07,17.009861
ChatGPT and 16 more pages - Personal - Microsoft​ Edge,Browser,ChatGPT and 16 more pages - Personal,2025-01-10 18:33:07,2025-01-10 18:36:07,180.162151
● time_tracker.py - TimeTracker - Visual Studio Code,Application,,2025-01-10 18:49:07,2025-01-10 18:49:13,6.012217
ChatGPT and 19 more pages - Personal - Microsoft​ Edge,Browser,ChatGPT and 19 more pages - Personal,2025-01-10 18:49:13,2025-01-10 18:49:19,6.003795
Autocomplete in Terminal : r/vscode and 19 more pages - Personal - Microsoft​ Edge,Browser,Autocomplete in Terminal : r/vscode and 19 more pages - Personal,2025-01-10 18:49:19,2025-01-10 18:49:24,5.004468
Extensions and 19 more pages - Personal - Microsoft​ Edge,Browser,Extensions and 19 more pages - Personal,2025-01-10 18:49:24,2025-01-10 18:49:25,1.001584
Chrome Web Store - Developer Agreement and 19 more pages - Personal - Microsoft​ Edge,Browser,Chrome Web Store - Developer Agreement and 19 more pages - Personal,2025-01-10 18:49:25,2025-01-10 18:49:26,1.001497
Chrome Web Store - Developer Tools and 19 more pages - Personal - Microsoft​ Edge,Browser,Chrome Web Store - Developer Tools and 19 more pages - Personal,2025-01-10 18:49:26,2025-01-10 18:49:30,4.002819
● time_tracker.py - TimeTracker - Visual Studio Code,Application,,2025-01-10 18:49:30,2025-01-10 18:50:26,56.034613
Chrome Web Store - Developer Tools and 19 more pages - Personal - Microsoft​ Edge,Browser,Chrome Web Store - Developer Tools and 19 more pages - Personal,2025-01-10 18:50:26,2025-01-10 18:50:31,5.003852
Chrome Web Store - Developer Agreement and 19 more pages - Personal - Microsoft​ Edge,Browser,Chrome Web Store - Developer Agreement and 19 more pages - Personal,2025-01-10 18:50:31,2025-01-10 18:50:35,4.003315
Extensions and 19 more pages - Personal - Microsoft​ Edge,Browser,Extensions and 19 more pages - Personal,2025-01-10 18:50:35,2025-01-10 18:50:39,4.004238
Autocomplete in Terminal : r/vscode and 19 more pages - Personal - Microsoft​ Edge,Browser,Autocomplete in Terminal : r/vscode and 19 more pages - Personal,2025-01-10 18:50:39,2025-01-10 18:50:42,3.0023
ChatGPT and 19 more pages - Personal - Microsoft​ Edge,Browser,ChatGPT and 19 more pages - Personal,2025-01-10 18:50:42,2025-01-10 18:50:48,6.004069
● time_tracker.py - TimeTracker - Visual Studio Code,Application,,2025-01-10 18:50:48,2025-01-10 18:51:15,27.016524
ChatGPT and 19 more pages - Personal - Microsoft​ Edge,Browser,ChatGPT and 19 more pages - Personal,2025-01-10 18:51:15,2025-01-10 18:51:17,2.001671
Extensions and 19 more pages - Personal - Microsoft​ Edge,Browser,Extensions and 19 more pages - Personal,2025-01-10 18:51:17,2025-01-10 18:51:18,1.001424
New tab and 20 more pages - Personal - Microsoft​ Edge,Browser,New tab and 20 more pages - Personal,2025-01-10 18:51:18,2025-01-10 18:51:19,1.002392
youtube.com and 20 more pages - Personal - Microsoft​ Edge,Browser,youtube.com and 20 more pages - Personal,2025-01-10 18:51:20,2025-01-10 18:51:21,1.000643
YouTube and 20 more pages - Personal - Microsoft​ Edge,Browser,YouTube and 20 more pages - Personal,2025-01-10 18:51:21,2025-01-10 18:51:22,1.001924
ChatGPT and 20 more pages - Personal - Microsoft​ Edge,Browser,ChatGPT and 20 more pages - Personal,2025-01-10 18:51:22,2025-01-10 18:52:21,59.034504
Track Active Window Time and 20 more pages - Personal - Microsoft​ Edge,Browser,Track Active Window Time and 20 more pages - Personal,2025-01-10 18:52:21,2025-01-10 18:53:56,95.093772
